"gene"	"contrast_1_logFC_DGE_Glia_vs_Neuron"	"contrast_1_padj_DGE_Glia_vs_Neuron"	"contrast_1_lg10p_DGE_Glia_vs_Neuron"	"add_MA_cts_MA_Avg_DGE_Glia_vs_Neuron"	"X"	"Y"
"Rbm41"	0.474071232671853	0.000541510942528594	3.26639276298738	0.314194077891188	0.314194077891188	0.474071232671853
"Rbm42"	-0.223428002533594	0.394645144480068	0.403793236171641	0.101602579209326	0.101602579209326	-0.223428002533594
"Rbm43"	0.91742612571457	1.54131665632329e-05	4.81210812833787	0.136815660138969	0.136815660138969	0.91742612571457
"Rbm45"	0.757327388720031	0.000819921753741481	3.08622759095741	0.122046231956273	0.122046231956273	0.757327388720031
"Rbm46"	3.61300459729302	5.34623015534034e-06	5.27195234878885	0.0150492286201706	0.0150492286201706	3.61300459729302
"Rbm46os"	0.706114001684501	0.378998823441741	0.421362138247106	0.0131375784809309	0.0131375784809309	0.706114001684501
"Rbm47"	1.10186767320867	6.45218843440088e-32	31.1902929576461	0.686369903602148	0.686369903602148	1.10186767320867
"Rbm48"	0.985911957218555	6.70251600338324e-06	5.17376214039279	0.131683492994141	0.131683492994141	0.985911957218555
"Rbm4b"	-0.183935636200164	0.0834384885768547	1.0786335714161	0.597855456074123	0.597855456074123	-0.183935636200164
"Rbm5"	0.504891480656634	9.1863739012551e-19	18.0368558820242	1.10057379990345	1.10057379990345	0.504891480656634
"Rbm6"	0.0449017216093281	0.423887152292225	0.37274974637858	1.31585089575617	1.31585089575617	0.0449017216093281
"Rbm7"	0.71010263352663	5.4605375208103e-06	5.26276460439568	0.246971622727987	0.246971622727987	0.71010263352663
"Rbm8a"	0.0942444595464144	0.610809569239538	0.214094167693918	0.212208288237058	0.212208288237058	0.0942444595464144
"Rbms1"	-0.162599104932827	0.000335633973082782	3.47413408605657	1.73650710366467	1.73650710366467	-0.162599104932827
"Rbms2"	1.63573922941157	2.22007049316642e-44	43.6536332353209	0.402194864331893	0.402194864331893	1.63573922941157
"Rbms3"	-1.78941897814609	1.00789391751614e-321	320.99658517569	2.83601018816188	2.83601018816188	-1.78941897814609
"Rbmx"	1.62670677606041	7.57797462953733e-31	30.1204468530423	0.300845891436685	0.300845891436685	1.62670677606041
"Rbmx2"	-0.334736636190134	0.500713869908729	0.300410378360634	0.0307703457688241	0.0307703457688241	-0.334736636190134
"Rbmxl1"	0.179436132473609	0.306858629246643	0.513061659306868	0.211365575880276	0.211365575880276	0.179436132473609
"Rbp1"	2.68129891978941	1.23704069531971e-36	35.9076160130127	0.158705019557354	0.158705019557354	2.68129891978941
"Rbp2"	1.57763922244696	8.00540816729164e-08	7.09661652004908	0.0857052882834546	0.0857052882834546	1.57763922244696
"Rbp4"	-0.77700868822432	0.0538658698244502	1.26868632278736	0.0508777127842092	0.0508777127842092	-0.77700868822432
"Rbp7"	0	0	0	0.00182682916143041	0.00182682916143041	0
"Rbpj"	0.0582066373388258	0.638809853395175	0.194628393657304	0.439544412861484	0.439544412861484	0.0582066373388258
"Rbpms"	3.03806770683786	9.40727054841265e-107	106.026536365703	0.468862702006296	0.468862702006296	3.03806770683786
"Rbpms2"	2.44949702751669	8.24253953237065e-14	13.0839389612428	0.0705338775371507	0.0705338775371507	2.44949702751669
"Rbsn"	-0.239877644031185	0.177571839346696	0.750625906722105	0.202166959774307	0.202166959774307	-0.239877644031185
"Rbx1"	-0.14831423237711	0.193078641422928	0.714265765708957	0.454275422232544	0.454275422232544	-0.14831423237711
"Rc3h1"	-0.02487067149788	0.742759110376339	0.129152012614965	0.909716597167488	0.909716597167488	-0.02487067149788
"Rc3h2"	-0.187802849765222	0.0120990450115155	1.91724890758411	0.842166687035494	0.842166687035494	-0.187802849765222
"Rcan1"	-0.280180392946187	0.074197621467561	1.1296100165548	0.265525143604618	0.265525143604618	-0.280180392946187
"Rcan2"	-1.61224718689566	9.46752202770547e-49	48.0237636757503	0.621070949694861	0.621070949694861	-1.61224718689566
"Rcan3"	-2.513121418347	2.50410860739062e-85	84.601346838973	0.566472818213019	0.566472818213019	-2.513121418347
"Rcbtb1"	0.505432459894601	0.000123301865334085	3.909030353265	0.335228484665568	0.335228484665568	0.505432459894601
"Rcbtb2"	0.708978996415143	2.20755232046849e-07	6.65608899455833	0.308008598686191	0.308008598686191	0.708978996415143
"Rcc1"	0.265991465483437	0.0439025993523257	1.35750976561319	0.374318694719956	0.374318694719956	0.265991465483437
"Rcc2"	0.169823820092596	0.236571514010021	0.626037550718464	0.299806999095407	0.299806999095407	0.169823820092596
"Rccd1"	1.20720687180243	1.02779774531722e-09	8.98809233936282	0.155776721811912	0.155776721811912	1.20720687180243
"Rce1"	0.102972979772594	0.704928541439514	0.151854905180815	0.0950254022299773	0.0950254022299773	0.102972979772594
"Rchy1"	0.418601020876859	0.00015272580610519	3.81608757393135	0.466870484216847	0.466870484216847	0.418601020876859
"Rcl1"	0.970100506454325	4.54416881723827e-06	5.34254554282671	0.147565653199606	0.147565653199606	0.970100506454325
"Rcn1"	2.87241074944619	6.20421708334603e-41	40.2073130147833	0.1621528064311	0.1621528064311	2.87241074944619
"Rcn2"	-0.22692245416738	0.0345773771212925	1.46120795336839	0.519871992380568	0.519871992380568	-0.22692245416738
"Rcn3"	3.86326201377061	6.62263904698525e-40	39.1789689146156	0.105675853405082	0.105675853405082	3.86326201377061
"Rcor1"	0.33679496393407	2.68751552443067e-06	5.57064901836746	0.841993402012423	0.841993402012423	0.33679496393407
"Rcor2"	-2.14834623510751	9.97442435212897e-05	4.00111215909062	0.0358074954735378	0.0358074954735378	-2.14834623510751
"Rcor3"	-0.442387811099983	1.79777857126544e-05	4.74526380047796	0.532795443938364	0.532795443938364	-0.442387811099983
"Rcsd1"	3.92288355386276	3.97075899208122e-121	120.401126471935	0.318133056801156	0.318133056801156	3.92288355386276
"Rcvrn"	3.29107650240566	3.22700684130038e-05	4.49120011388464	0.0143126901185889	0.0143126901185889	3.29107650240566
"Rdh10"	0.564700045680047	0.00478102053153077	2.32047939127359	0.159469851855548	0.159469851855548	0.564700045680047
"Rdh11"	-1.17452038484517	1.57772226873809e-10	9.80196944458045	0.198703376005685	0.198703376005685	-1.17452038484517
"Rdh12"	0	0	0	0.014908357425617	0.014908357425617	0
"Rdh13"	0.0589396261234634	0.789568094949825	0.102610409055725	0.157022132474739	0.157022132474739	0.0589396261234634
"Rdh14"	0.599991941357173	0.000420225755027007	3.37651733383549	0.212567318359728	0.212567318359728	0.599991941357173
"Rdh16"	0.483259357763122	0.0662788601393034	1.1786249691644	0.134085484791698	0.134085484791698	0.483259357763122
"Rdh5"	1.21057538993938	4.45697716232069e-06	5.35095959124555	0.0889891518143441	0.0889891518143441	1.21057538993938
"Rdm1"	1.36740645382036	3.87924052544961e-10	9.41125329190367	0.129588443934993	0.129588443934993	1.36740645382036
"Rdx"	0.417665758359859	3.67315431276022e-06	5.43496082614082	0.609720478184686	0.609720478184686	0.417665758359859
"Rec114"	0.032806184627624	0.90200064155588	0.044793153562183	0.13369017583137	0.13369017583137	0.032806184627624
"Rec8"	0.363299561921357	0.359679226690815	0.444084644177793	0.0492771562274577	0.0492771562274577	0.363299561921357
"Reck"	3.33118506261781	1.6390067319342e-277	276.785419262637	0.874121694342713	0.874121694342713	3.33118506261781
"Recql"	0.272990147629553	0.15533803472711	0.808722193661789	0.184649918891157	0.184649918891157	0.272990147629553
"Recql4"	0.342970095162257	0.613148827627229	0.212434097794307	0.0153319130567445	0.0153319130567445	0.342970095162257
"Recql5"	1.09020052519955	1.30976052472825e-16	15.8828081030438	0.321436638060269	0.321436638060269	1.09020052519955
"Recql5os1"	0	0	0	0.00215523270772293	0.00215523270772293	0
"Reep1"	-4.74666613614083	1.00789391751614e-321	320.99658517569	0.983421844383589	0.983421844383589	-4.74666613614083
"Reep2"	-4.79173595482333	1.62202668597957e-108	107.789942004947	0.362598945482839	0.362598945482839	-4.79173595482333
"Reep3"	1.0433883925346	6.28443352748487e-35	34.2017338630814	0.741382532122568	0.741382532122568	1.0433883925346
"Reep4"	0.912514955823266	0.000549196632819685	3.26027213413068	0.092869027583082	0.092869027583082	0.912514955823266
"Reep5"	-3.02168407479211	2.91832451909375e-149	148.534866416001	0.880281989449739	0.880281989449739	-3.02168407479211
"Reep6"	2.47503472280441	6.14884810253963e-20	19.2112062353736	0.100078004647833	0.100078004647833	2.47503472280441
"Reg2"	0	0	0	0.0116782925334884	0.0116782925334884	0
"Reg3b"	1.95798247753979	2.32250942392757e-20	19.6340425151163	0.146236885024404	0.146236885024404	1.95798247753979
"Reg3g"	2.4025850367658	2.81795389981565e-15	14.5500661159887	0.0691251556883332	0.0691251556883332	2.4025850367658
"Reg4"	1.77139308288934	5.35158985291955e-39	38.2715171783941	0.561930921240059	0.561930921240059	1.77139308288934
"Rel"	1.20150640593594	8.72948650011943e-08	7.05901130231088	0.139998704679317	0.139998704679317	1.20150640593594
"Rela"	0.59845914806072	0.00033970716868347	3.46889528831742	0.212786877854962	0.212786877854962	0.59845914806072
"Relb"	1.50569263208377	4.17185318034599e-20	19.3796709840632	0.218342722745486	0.218342722745486	1.50569263208377
"Rell1"	1.55323786568311	8.73114784566833e-29	28.0589286577526	0.311481880287465	0.311481880287465	1.55323786568311
"Rell2"	-2.09036624876475	4.12037088469403e-05	4.38506369029538	0.033395514984243	0.033395514984243	-2.09036624876475
"Reln"	0.251369176842588	0.407065519678217	0.390335682802807	0.110872765888269	0.110872765888269	0.251369176842588
"Relt"	0	0	0	0.00425862903256544	0.00425862903256544	0
"Rem1"	0	0	0	0.00165199118404057	0.00165199118404057	0
"Rem2"	0	0	0	0.00344052070449565	0.00344052070449565	0
"Renbp"	2.92112689265535	2.80055526514255e-05	4.55275585270078	0.0152207888971158	0.0152207888971158	2.92112689265535
"Rep15"	1.66906989666538	6.56647226379589e-23	22.1826678858185	0.25453036438777	0.25453036438777	1.66906989666538
"Reps1"	-0.385589104615823	3.0591317694385e-05	4.51440181575559	0.719609063828964	0.719609063828964	-0.385589104615823
"Reps2"	-2.75918707374803	1.88403682150132e-88	87.7249106136352	0.635565543306598	0.635565543306598	-2.75918707374803
"Rer1"	0.377609272148248	0.00208839787482535	2.68018675740352	0.375101254723231	0.375101254723231	0.377609272148248
"Rere"	-0.123185130519119	0.00294174303507501	2.53139526611663	1.92189445289385	1.92189445289385	-0.123185130519119
"Rerg"	2.03282065594689	2.02742339029506e-114	113.693055547376	1.22611179730805	1.22611179730805	2.03282065594689
"Resp18"	-3.58737459508601	3.24103536610549e-47	46.4893162299303	0.225774250305394	0.225774250305394	-3.58737459508601
"Rest"	1.27338488712672	8.37696882311895e-12	11.0769131008848	0.173249563065607	0.173249563065607	1.27338488712672
"Ret"	-5.59020252129648	7.49526537417207e-250	249.125212986098	1.01807265772714	1.01807265772714	-5.59020252129648
"Retnla"	0	0	0	0.0117271423769109	0.0117271423769109	0
"Retnlb"	1.80898573880611	0.00100564113891331	2.99755696877715	0.026316557417698	0.026316557417698	1.80898573880611
"Retsat"	1.7161110436501	4.27282670586086e-09	8.36928472061939	0.0760621254003963	0.0760621254003963	1.7161110436501
"Rev1"	0.400181942840472	4.49000339845751e-07	6.34775333028158	0.763167951997158	0.763167951997158	0.400181942840472
"Rev3l"	-1.00683922493335	2.91110588656939e-58	57.5359419975442	1.29505723432889	1.29505723432889	-1.00683922493335
"Rex2"	0	0	0	0.0022813207250898	0.0022813207250898	0
"Rexo1"	0.349157252620021	0.0250066679122655	1.60194417327246	0.244779471674211	0.244779471674211	0.349157252620021
"Rexo2"	-0.202456014289735	0.163446644470279	0.786623990978384	0.295251654479094	0.295251654479094	-0.202456014289735
"Rexo4"	0.308787520842312	0.0708152124829975	1.14987343739854	0.219806594308074	0.219806594308074	0.308787520842312
"Rfc1"	0.554438712869529	4.58439432033972e-07	6.33871803419458	0.433207734611818	0.433207734611818	0.554438712869529
"Rfc2"	0.747827638741885	6.08749037243997e-07	6.21556171262733	0.259943734907942	0.259943734907942	0.747827638741885
"Rfc3"	0.178244360621703	0.621795032786318	0.206352751643276	0.0651878869875069	0.0651878869875069	0.178244360621703
"Rfc4"	1.34094040423087	0.00686205401783108	2.16354586751657	0.0309403475023287	0.0309403475023287	1.34094040423087
"Rfc5"	0.0909020334953723	0.84990907044793	0.0706275358328925	0.033904591177778	0.033904591177778	0.0909020334953723
"Rfesd"	0.592351561613828	0.0213731743418151	1.67013097167055	0.104809511800176	0.104809511800176	0.592351561613828
"Rffl"	0.810410252318022	4.1461888995994e-07	6.38235091541514	0.284298761885492	0.284298761885492	0.810410252318022
"Rfk"	1.22501969029539	3.11197986446552e-40	39.5069632217016	0.60123662064954	0.60123662064954	1.22501969029539
"Rfng"	-0.758776604095342	0.00114124399566614	2.94262149436973	0.133166638132774	0.133166638132774	-0.758776604095342
"Rft1"	0.77558989541697	5.65337858589844e-06	5.24769193046748	0.204115998841841	0.204115998841841	0.77558989541697
"Rftn1"	-2.49657276095038	1.32861189509524e-16	15.8766018636278	0.142424628849558	0.142424628849558	-2.49657276095038
"Rftn2"	5.35179937966901	9.67963353182543e-297	296.014141084646	0.583705620300057	0.583705620300057	5.35179937966901
"Rfwd2"	0.46058715648895	1.00330454944186e-11	10.9985672184593	0.878818108421983	0.878818108421983	0.46058715648895
"Rfwd3"	1.36555344111762	6.16585500354143e-39	38.2100066923734	0.486591833762714	0.486591833762714	1.36555344111762
"Rfx1"	0.0766810689923216	0.740757655671223	0.130323851425925	0.143000184968388	0.143000184968388	0.0766810689923216
"Rfx2"	1.01132203946236	4.26901965850374e-26	25.3696718452991	0.657668384814905	0.657668384814905	1.01132203946236
"Rfx3"	0.379302768200151	9.27361964437337e-09	8.03275072057492	1.34580371884056	1.34580371884056	0.379302768200151
"Rfx4"	0	0	0	0.0183993797151046	0.0183993797151046	0
"Rfx5"	1.34481254318035	2.02203849482327e-06	5.69421058072811	0.0765167094773695	0.0765167094773695	1.34481254318035
"Rfx6"	-1.07918857279527	0.212885458472821	0.671854002820468	0.0190502433474653	0.0190502433474653	-1.07918857279527
"Rfx7"	-0.466077148426908	7.7711029525993e-11	10.109517337411	0.960728924800838	0.960728924800838	-0.466077148426908
"Rfx8"	0	0	0	0.00302890763432899	0.00302890763432899	0
"Rfxank"	1.14684032059823	4.08030975697465e-05	4.38930686616541	0.0829338172776246	0.0829338172776246	1.14684032059823
"Rfxap"	-0.627795069315522	0.0107813999930444	1.96732484121084	0.112313929679499	0.112313929679499	-0.627795069315522
"Rgag4"	-2.9927030653147	4.44183143352842e-14	13.3524379268496	0.0711505792369518	0.0711505792369518	-2.9927030653147
"Rgcc"	3.35446843477444	3.12634368834261e-82	81.5049632803968	0.304901319271861	0.304901319271861	3.35446843477444
"Rgl1"	3.20082773388687	1.00789391751614e-321	320.99658517569	1.19864567839934	1.19864567839934	3.20082773388687
"Rgl2"	0.545398817503716	0.000632892495188853	3.19867005413963	0.243229245589733	0.243229245589733	0.545398817503716
"Rgl3"	0.59219664600745	0.0227517247889805	1.64298567426213	0.102630700940779	0.102630700940779	0.59219664600745
"Rgma"	2.01464445653435	3.96099949286288e-15	14.4021952131996	0.10606111058394	0.10606111058394	2.01464445653435
"Rgmb"	-1.14364300275338	2.58628661756917e-21	20.5873233473864	0.557302963681896	0.557302963681896	-1.14364300275338
"Rgp1"	-0.194073669123841	0.391597613550082	0.407159963511363	0.141098864805408	0.141098864805408	-0.194073669123841
"Rgs1"	2.02450543658409	0.000308640710619994	3.51054678977151	0.0238879979772254	0.0238879979772254	2.02450543658409
"Rgs10"	-1.86669587405213	1.12860617789013e-10	9.94745757676999	0.114468963809925	0.114468963809925	-1.86669587405213
"Rgs11"	0.10476607474646	0.459051354548601	0.338138726773192	0.3106603280908	0.3106603280908	0.10476607474646
"Rgs12"	0.583761291199955	0.00277908468998373	2.55609821830641	0.165270921080928	0.165270921080928	0.583761291199955
"Rgs13"	2.21244945268341	6.8284999678766e-05	4.16567468829826	0.0248896985717294	0.0248896985717294	2.21244945268341
